Arts_and_Entertainment,Autos_and_Vehicles,Beauty_and_Fitness,Books_and_Literature,Business_and_Industrial,Computers_and_Electronics,Finance,Food_and_Drink,Games,Health,Hobbies_and_Leisure,Home_and_Garden,Internet_and_Telecom,Jobs_and_Education,Law_and_Government,News,Online_Communities,People_and_Society,Pets_and_Animals,Real_Estate,Reference,Science,Shopping,Sports,Travel
72,60,79,44,55,38,70,65,62,59,56,61,54,86,60,51,41,100,56,57,58,36,58,65,52
67,53,73,46,54,34,62,62,58,61,53,56,51,82,63,52,37,90,58,49,61,44,55,74,43
70,53,71,51,51,36,64,65,60,60,58,58,50,86,59,53,38,87,62,49,60,48,61,75,43
72,50,70,47,50,37,61,70,66,58,57,57,52,81,56,50,35,85,61,42,60,43,70,71,40
75,50,81,50,49,36,63,76,69,54,65,62,52,84,49,47,36,89,59,44,55,37,76,72,40
71,51,86,49,52,36,69,70,62,61,54,59,54,79,61,53,40,89,64,60,63,40,59,72,44
71,54,83,52,48,35,76,67,60,62,56,60,51,79,59,51,40,88,64,55,60,45,59,66,44
68,55,81,49,50,35,67,62,66,60,59,61,53,75,54,49,37,81,64,52,55,42,56,67,46
69,57,79,49,51,32,69,64,59,62,56,60,55,73,55,50,37,83,63,55,55,43,57,71,43
64,56,82,48,52,32,64,65,59,60,55,58,58,75,55,49,38,81,67,57,55,40,54,67,45
65,58,83,38,50,33,63,65,60,58,57,60,55,77,45,50,37,83,61,57,51,32,60,76,52
72,58,86,39,51,32,62,68,58,59,57,62,57,81,46,49,39,83,65,61,53,31,57,73,52
69,58,83,41,55,32,66,71,58,60,57,61,55,85,59,52,41,87,60,56,53,35,58,83,50
72,55,81,47,52,33,63,65,54,61,53,57,52,85,66,52,39,79,64,51,59,45,62,75,43
65,50,76,47,52,31,63,62,53,61,54,54,49,83,58,50,50,92,63,48,61,45,58,73,40
66,48,75,46,48,32,59,68,59,55,57,58,52,81,54,48,50,92,62,44,56,39,68,67,34
70,47,78,44,46,33,57,72,59,55,61,60,52,87,48,49,40,97,60,43,55,36,73,67,39
66,50,82,44,51,30,71,70,53,58,51,55,51,78,60,51,39,91,56,52,56,38,56,69,43
67,51,83,49,51,29,73,67,56,63,53,60,49,81,58,51,39,85,60,55,61,45,55,67,43
67,53,80,45,51,30,68,66,56,60,52,59,52,78,53,49,39,87,60,57,57,39,56,71,44
65,51,82,46,50,29,66,65,51,62,54,58,54,75,57,50,39,87,57,54,60,45,54,74,43
62,53,79,44,48,28,58,61,55,57,54,58,56,75,52,45,37,82,56,51,54,39,51,65,45
63,53,78,37,48,29,61,68,52,57,51,58,59,72,44,46,37,84,54,57,51,31,54,66,48
66,55,82,35,49,27,64,66,52,55,54,59,55,75,41,48,37,82,55,58,53,28,55,60,51
64,56,79,37,48,30,61,69,57,59,53,61,55,77,56,46,35,82,55,54,54,32,54,65,47
62,51,74,44,49,29,56,64,52,54,50,54,50,73,59,47,35,76,54,46,57,42,53,75,38
62,49,73,44,50,30,58,63,51,60,53,55,50,72,55,50,36,73,56,47,58,44,55,73,38
60,44,69,43,45,29,54,68,53,54,53,54,51,69,49,44,34,72,54,42,54,38,64,67,35
65,47,73,41,46,30,57,76,58,52,58,54,50,71,46,41,40,76,56,42,52,35,72,71,37
63,47,78,41,50,28,62,64,49,57,48,50,50,66,56,46,38,70,53,51,54,36,50,65,39
59,51,77,44,49,30,67,62,49,58,49,54,49,69,52,47,41,70,55,52,55,42,52,68,39
61,50,74,42,47,27,58,63,48,57,48,53,49,69,54,44,37,67,53,51,53,40,52,62,42
60,53,76,42,51,30,60,63,49,58,48,58,52,66,52,44,36,69,55,52,56,43,50,66,41
59,51,70,42,44,26,52,59,45,55,50,54,53,68,50,41,34,62,51,50,50,38,49,60,41
56,53,70,35,45,25,49,57,46,52,47,51,52,63,39,39,32,61,51,51,44,30,48,73,44
57,52,73,30,46,25,55,63,45,54,48,52,52,60,39,39,33,63,52,54,47,27,45,63,45
59,50,69,33,47,26,53,60,43,56,47,52,50,64,46,38,33,63,50,50,49,31,51,61,42
55,48,66,38,49,29,55,54,42,54,43,49,47,74,55,43,35,62,53,46,52,41,48,76,36
57,46,66,40,47,27,53,57,41,58,46,48,46,62,52,42,32,60,51,44,55,45,49,65,34
58,44,63,37,43,25,50,57,46,48,46,45,48,60,46,37,36,57,49,38,49,36,57,65,31
55,43,69,36,43,27,50,62,48,47,53,51,47,62,41,37,31,59,49,38,44,33,61,63,32
55,43,66,37,45,24,55,56,43,52,42,48,43,56,49,40,34,57,50,46,49,33,44,62,34
54,47,69,40,47,26,60,57,44,56,45,47,43,59,47,40,37,57,52,49,50,39,45,55,35
52,48,64,36,46,24,53,56,40,50,41,47,45,53,45,39,31,57,48,48,49,37,44,58,36
53,48,67,38,46,23,52,54,40,52,41,48,46,55,47,38,31,54,51,46,48,38,43,57,35
49,45,62,34,43,21,45,53,39,48,41,47,46,50,42,33,28,51,46,44,46,34,41,56,35
49,44,62,27,43,22,47,53,38,47,41,45,46,48,34,35,28,47,45,46,40,27,39,53,41
49,46,63,26,42,22,50,55,36,47,42,47,47,49,32,36,28,48,44,48,39,25,42,48,42
46,45,60,28,42,22,45,54,35,47,40,46,46,51,43,37,29,49,42,47,41,27,43,51,37
47,43,60,33,43,23,46,51,36,49,39,45,44,51,49,37,29,47,47,42,47,39,42,61,32
49,40,56,35,42,23,46,53,37,49,40,42,43,52,47,36,29,46,46,39,49,40,44,63,31
48,39,61,32,39,23,43,56,40,47,40,43,43,48,44,35,29,46,45,36,44,34,49,63,28
51,41,65,33,42,24,45,58,41,44,49,45,44,51,38,35,29,46,45,38,44,32,55,54,30
63,56,80,42,53,26,63,76,62,62,59,57,57,57,56,45,41,68,55,60,54,39,54,72,43
