Sale,Discount,coupon,Promotion,Special_offer,Bargain,Deal,Clearance,Flash_sale,Apparel,Electronics,Home_goods,Appliance,Furniture,Beauty_product,Shopping,Shopping_spree,Retail_therapy,Shopping_experience,Impulse_buying,Comparison_shopping,Brand_loyalty,Loyalty_card,Customer_satisfaction,customer_opinion,Payment_options,Credit_card,Cash_transaction,Online_payment,Retail_store,Brick-and-mortar,Store_layout,E-commerce,webshop,Online_shopping,Online_shop,Online_store,Customer_service,Customer_support,Returns_and_exchanges,Holiday_sales,Black_Friday,Cyber_Monday,Sales_events,Clearance_events,Anniversary_sale,Retail,purchase_+_purchasing,acquire,Buy,procure,consume_,Shopping_cart,shopping_bag
37,60,28,68,73,60,60,55,16,79,47,14,67,68,49,57,51,23,22,9,27,46,14,58,22,31,38,6,26,63,10,47,36,7,23,36,47,11,26,28,27,1,0,71,0,3,73,76,49,52,46,24,52,56
41,66,40,77,82,65,69,52,17,90,61,17,68,72,50,80,51,36,24,29,44,67,25,49,0,25,36,4,27,66,0,45,35,11,33,45,48,10,26,32,97,28,15,59,0,2,75,76,46,71,34,27,57,66
37,69,52,82,96,63,91,55,17,100,61,16,64,63,42,80,61,36,17,0,43,26,9,47,0,29,36,4,29,79,13,76,33,12,33,49,54,10,30,32,87,0,0,37,7,2,76,74,40,75,37,21,52,68
40,61,34,70,76,56,83,65,19,69,54,13,69,75,57,53,31,38,16,10,21,28,25,48,19,30,35,7,31,60,16,64,31,15,19,36,39,11,30,42,31,0,0,59,5,2,72,72,47,56,39,24,52,66
39,60,33,70,78,64,82,59,18,66,50,14,64,70,64,52,34,14,9,19,26,50,25,47,46,26,34,7,27,52,13,66,36,15,20,38,43,11,25,41,17,0,0,38,9,2,67,72,50,48,46,25,49,56
42,66,33,73,68,62,70,58,17,68,46,17,63,78,56,55,32,20,15,0,19,50,26,52,28,30,36,7,26,56,0,61,34,15,20,37,42,11,26,40,16,0,0,58,0,2,67,74,45,52,49,25,51,52
41,60,35,71,74,61,72,53,19,67,43,16,61,63,57,56,31,25,16,23,24,54,26,48,26,34,35,9,29,55,20,60,37,18,20,40,42,10,27,41,23,0,0,46,0,3,68,77,46,52,40,32,47,93
41,65,37,77,73,62,64,51,16,63,42,16,64,67,54,55,37,97,10,0,21,19,21,54,39,24,36,9,30,53,22,50,33,4,21,34,41,11,25,32,28,0,0,56,0,3,66,76,42,54,57,28,49,80
40,65,39,79,68,62,60,56,13,66,43,14,70,63,61,60,27,40,15,36,20,47,38,51,52,27,36,8,28,58,0,51,29,10,22,38,44,13,28,28,25,0,0,61,14,5,69,76,39,60,47,26,48,65
44,66,40,77,69,61,52,65,17,66,44,16,71,67,68,62,36,31,19,13,17,38,20,44,29,28,39,7,30,64,0,38,28,8,20,38,47,14,29,31,95,0,0,57,22,18,72,75,44,61,49,27,48,86
41,63,38,74,81,59,48,72,17,75,44,16,66,66,66,66,55,17,10,0,18,27,33,41,46,30,38,5,30,60,13,47,30,9,20,41,45,14,29,26,70,0,0,64,5,15,67,70,37,58,48,24,44,70
40,54,37,68,72,57,54,66,19,80,38,17,57,62,46,54,40,35,19,9,15,27,21,45,20,22,35,6,33,52,0,51,30,5,21,38,44,16,28,26,15,0,0,49,0,6,63,68,43,54,59,24,43,64
39,54,40,67,66,62,54,68,18,85,41,19,57,56,51,60,100,30,10,12,18,45,28,45,29,26,38,7,34,52,0,50,30,10,24,41,46,15,25,30,30,2,0,60,4,5,65,70,44,58,44,28,44,56
45,62,54,83,73,62,72,78,23,86,54,22,67,62,56,73,91,28,28,0,31,55,11,46,0,22,39,5,37,60,0,62,31,9,32,52,55,16,24,38,83,41,6,69,0,4,69,68,43,74,47,28,50,62
45,70,73,99,89,57,71,84,25,91,58,21,66,54,45,72,78,45,14,29,35,32,21,40,17,29,40,6,41,66,0,67,27,7,33,58,62,19,30,27,100,2,17,67,5,3,72,72,38,86,44,22,49,68
47,60,51,83,81,54,62,90,17,65,48,17,65,70,57,52,46,21,10,0,20,0,24,41,24,35,40,6,45,52,0,50,28,9,22,46,47,18,29,36,28,0,0,47,10,3,63,66,44,65,44,27,45,48
50,61,50,81,73,61,61,82,20,64,42,15,64,62,50,51,62,37,18,25,15,43,37,55,37,27,41,8,47,46,17,40,32,10,22,48,47,17,28,38,16,0,0,43,0,2,62,74,54,59,68,32,78,51
48,62,49,81,78,57,61,76,19,62,41,16,64,58,59,55,52,27,15,6,17,38,29,45,21,33,41,10,48,49,0,54,32,9,23,48,47,17,28,32,16,0,0,80,0,3,62,72,49,56,48,35,88,56
49,58,48,79,64,55,57,65,19,60,40,18,60,57,55,54,42,43,12,38,16,39,35,51,7,32,39,5,45,47,18,80,30,8,21,48,44,15,25,31,19,0,0,58,6,3,59,70,46,53,56,31,78,59
51,60,54,87,74,59,56,69,27,61,39,17,61,59,41,57,41,41,17,11,18,19,23,44,55,29,44,4,46,48,8,42,28,16,22,50,46,16,25,22,21,0,0,61,0,4,59,65,37,55,45,29,89,63
53,63,51,88,69,56,58,75,24,60,40,19,65,60,54,57,43,38,12,11,17,27,22,46,0,32,45,3,52,48,0,47,28,10,20,47,52,19,30,20,19,0,0,60,4,6,62,68,37,56,65,28,69,47
55,67,52,86,76,54,60,84,24,59,40,20,67,61,47,65,51,33,13,11,19,21,23,42,9,38,47,11,56,49,12,40,25,13,23,53,56,20,29,21,65,0,0,62,0,15,63,69,40,62,61,27,59,55
55,64,55,85,65,52,58,86,25,68,38,19,69,63,49,58,52,44,14,0,15,25,30,41,0,36,46,9,60,51,28,48,25,9,23,60,62,20,32,21,79,0,0,61,13,5,60,70,40,63,47,24,58,56
